ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1469883,ADAMS Valerie,F,36,NA,NA,New Zealand,NZL,2020 Summer,2020,Summer,Tokyo,Athletics,Women's Shot Put,Bronze
1325175,ADAMUS Bartlomiej Stefan,M,21,NA,NA,Poland,POL,2020 Summer,2020,Summer,Tokyo,Weightlifting,Men's 96kg,NA
1382524,ADAR Yasemin,F,29,NA,NA,Turkey,TUR,2020 Summer,2020,Summer,Tokyo,Wrestling,Women's Freestyle 76kg,Bronze
1312780,ADEBAYO Bam,M,24,NA,NA,United States,USA,2020 Summer,2020,Summer,Tokyo,Basketball,Men Team,Gold
1386905,ADEGOKE Enoch,M,21,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 100m,NA
1350931,ADEKUOROYE Odunayo Folasade,F,27,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Wrestling,Women's Freestyle 57kg,NA
1376999,ADEL Ibrahim,M,20,NA,NA,Egypt,EGY,2020 Summer,2020,Summer,Tokyo,Football,Men Team,NA
1351136,ADENIYI Aminat Oluwafunmilayo,F,28,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Wrestling,Women's Freestyle 62kg,NA
1366795,ADESOKAN Dorcas Ajoke,F,23,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Badminton,Women's Singles,NA
1307017,ADILKHANOVA Alina,F,19,NA,NA,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,NA
1352229,ADLERTEG Jonna,F,26,NA,NA,Sweden,SWE,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Women's Uneven Bars,NA
1440148,ADLINGTON Sarah,F,35,NA,NA,Great Britain,GBR,2020 Summer,2020,Summer,Tokyo,Judo,Women +78 kg,NA
1381745,ADO Pauline,F,30,NA,NA,France,FRA,2020 Summer,2020,Summer,Tokyo,Surfing,Women,NA
1301815,ADOLF Balazs,M,21,NA,NA,Hungary,HUN,2020 Summer,2020,Summer,Tokyo,Canoe Sprint,Men's Canoe Single 1000m,NA
1301815,ADOLF Balazs,M,21,NA,NA,Hungary,HUN,2020 Summer,2020,Summer,Tokyo,Canoe Sprint,Men's Canoe Double 1000m Team,NA
